id_municipio;ano;despesa_corrente_total;elemento_39
3112109;2023;112445355,16;4493786,4
3112505;2023;159805760,57999998;13362163,0
3112604;2023;335337253,35;15752821,66
3113701;2023;386883481,28;16651910,01
3115706;2023;120154392,79000002;6624703,12
3115904;2023;95298928,63999999;5039800,72
3117207;2023;80760684,09;3825191,6
3118809;2023;378913516,82;25313773,92
3119203;2023;200797265,56999996;11628952,75
3119302;2023;534020460,62999994;30680394,89
3120409;2023;109661803,05000001;3271366,65
3121605;2023;980232850,0600002;91834360,4
3123007;2023;147209650,64;8501593,39
3128808;2023;114723261,12;7792256,43
3129103;2023;175282812,32999998;7612253,93
3129657;2023;110994489,92999999;6911521,91
3129905;2023;95507042,53;4124558,18
3130309;2023;163725396,52;10185615,29
3131406;2023;157441338,47;5706095,16
3132107;2023;367767637,64000005;11921528,82
3132305;2023;181664010,89999998;11091036,06
3132404;2023;1526681501,58;126436596,63
3133600;2023;276319568,48;13419035,46
3135357;2023;136770836,84000003;7373671,23
3136306;2023;863816074,81;33254992,41
3136579;2023;119725307,31000002;6933701,14
3137007;2023;244705449,36999995;16950658,88
3137700;2023;297841606,11;14406587,34
3139300;2023;344699607,74;11705982,17
3143153;2023;108015306,46999998;7249617,51
3143807;2023;109196672,06;4870929,67
3144607;2023;399892291,46000004;19237997,82
3145059;2023;119776381,88999999;5709978,55
3145307;2023;415165535,85999995;30139974,08
3145901;2023;956268226,27;52629838,06
3147600;2023;281963018,64;13545129,09
3148608;2023;282088800,00999993;8567489,88
3150570;2023;142430583,95;7581849,73
3150703;2023;179756001,23999998;10478778,34
3151206;2023;1359977332,7399998;101446877,33
3151602;2023;262992385,53999996;16125373,92
3151800;2023;4161524830,2200003;302726027,09
3152204;2023;523392297,37;31111539,01
3152808;2023;549211255,54;36611092,55
3153509;2023;127500684,49000002;4722748,01
3153905;2023;204815038,45;12902396,65
3154606;2023;3310347155,34;188877079,41
3155405;2023;137005305,29;7822731,89
3158201;2023;251617716,02000004;7955046,8
3158607;2023;100378077,53;6312730,09
3159506;2023;125244704,58999999;8832428,4
3161007;2023;266255816,14;14391476,16
3162104;2023;538760972,5500001;31028286,76
3162302;2023;89359428,15;4483586,7
3162575;2023;110797830,83000001;5527316,2
3164472;2023;119878892,81;3813442,52
3164506;2023;143832788,36;10261046,46
3165404;2023;127907459,71000001;6121828,07
3167707;2023;126389146,47;3825274,49
3168002;2023;586013577,8199999;52876950,09
3169059;2023;102014067,24;5746159,1
3169703;2023;310550267,36;14074327,09
3170107;2023;6896883529,17;366616365,91
3170750;2023;138053853,14;10424500,5
3171204;2023;1836254471,95;91432913,05
3171709;2023;132951912,19;5589950,66
3171808;2023;206459214,73000002;10864688,18
1400050;2023;259608467,03;10618877,65
1600501;2023;411745872,88;26061460,22
1600600;2023;1462381672,1900003;59450665,78
1200500;2023;666785371,5000001;49289197,17
2801702;2023;341235351,11;10958309,31
2803005;2023;576162771,0100001;26056067,91
2806602;2023;223066363,20000002;12409682,18
1101484;2023;122243617,67999999;6921901,45
1101609;2023;198778986,42000002;7467394,08
3201704;2023;262651218,85;15436910,14
3201902;2023;723313397,4399999;41461516,07
3202405;2023;1989637770,7199998;90766062,34
3203403;2023;469293628,34000003;18267522,99
3204054;2023;427542125,15000004;18005787,82
5000609;2023;901915245,3699999;23360314,78
5002308;2023;390175916,74000007;21842761,1
5003900;2023;172051275,28;12299153,91
5004502;2023;482180924,94000006;18212827,6
5005152;2023;200659213,42000002;11797246,83
1501501;2023;906300014,02;42098094,09
1501725;2023;346273439,65999997;9888051,46
1502608;2023;172080073,37;6981844,77
1502707;2023;750733883,6099999;43971894,51
1502939;2023;772145021,6500001;19403526,18
1503754;2023;687727791,3000002;35375134,78
1505908;2023;766218970,7299999;26537623,86
1507003;2023;426974300,18999994;11792246,47
5101852;2023;199312488,63000003;9320658,89
5103254;2023;507449125,78;28888498,24
5104500;2023;123171989,81;8433110,46
5105259;2023;2160673626,2400002;151904862,59
5106000;2023;164905481,68999997;5725948,83
5106182;2023;191891109,68;14633523,55
5106455;2023;104267038,81;8648341,98
5106778;2023;257993522,08999997;10232729,77
5106828;2023;278170994,74;17871148,84
5107768;2023;195570331,07999998;8180999,61
5108204;2023;134778648,62;13285357,35
3304557;2023;144887358071,43;4135866831,08
1301902;2023;1485770546,61;49488306,95
1301951;2023;275060865,54;7734787,23
1302553;2023;354150483,05;17961689,01
1302603;2023;30527420826,039997;1547052227,65
1303908;2023;583475089,9799999;24336291,11
2701357;2023;188867045,71;15799747,79
2701704;2023;361506040,65999997;21015210,88
2702603;2023;444179900,19;28746104,71
2703908;2023;176741502,6;6328237,68
2707305;2023;626678809,47;48203258,69
2708204;2023;170094276,03;11917279,05
2709103;2023;481135512,84000003;19224475,52
2709202;2023;450545209,91;18718310,6
2600054;2023;877613710,61;76056031,87
2600302;2023;421450853,03999996;25863226,05
2601904;2023;852746919,2;36036028,25
2602209;2023;527836814,01999986;33030085,83
2606705;2023;187878767,82000002;10308370,81
2609303;2023;266436319,57000005;8841040,13
2610103;2023;179368349,13000003;5046839,89
2612505;2023;1284012899,3999999;59708227,31
2614857;2023;490125604,96000004;28821581,53
2102804;2023;485881617,67;23904604,15
2105948;2023;166231678,13;4669582,12
2107258;2023;116044801,92000002;3112420,23
2108207;2023;631658595,53;19875213,94
2108454;2023;420251706,84;37316971,65
2108504;2023;608165425,18;49227397,14
2110500;2023;542345260,87;27125316,38
2111763;2023;252007601,03;12315706,81
2111953;2023;109897072,22;7978024,27
1700400;2023;145003696,65;8018836,09
1702703;2023;81868300,82;3934610,4
1703891;2023;100788933,66;6585410,7
1705557;2023;82208977,39999999;2495703,93
1712702;2023;94456316,67;11905338,58
1717206;2023;83515180,09;4644132,63
1718402;2023;80776498,05999999;4670239,34
2300507;2023;206441418,65999997;18414075,04
2301208;2023;551303235,1299999;19369951,06
2303204;2023;404572066,84000003;15215626,44
2304459;2023;340458207,29999995;16951225,92
2304509;2023;292967535,34999996;17774856,78
2308104;2023;656277081,72;39560470,67
2308609;2023;372705793,59000003;26051212,3
2309003;2023;287051106,15999997;17713412,15
2311603;2023;547462920,22;14385230,65
2504355;2023;120419969,39000002;3918780,36
2505303;2023;81922701,75999999;3935576,09
2506301;2023;792559130,8200002;25577829,35
2507408;2023;143534786,4;3543956,92
2508000;2023;172151991,49999994;5974935,36
2510006;2023;152045992,38;3223230,1
2511202;2023;670443647,99;26919158,33
2511707;2023;134494289,66;4153577,85
2512804;2023;150095997,48999998;4737447,13
2515609;2023;97311463,20999998;3480392,08
2401453;2023;472155195,74;31428891,09
2402600;2023;976683348,7600001;43167692,9
2403251;2023;2935247875,1400003;144192950,14
2405009;2023;114786611,87;5325988,96
2405900;2023;89197721,95;4523850,97
2409100;2023;209176565,70000002;15581163,17
2410108;2023;190430778,68;9360188,08
2411056;2023;241742840,42000002;15618136,23
2412609;2023;292908768,39;17143645,58
2414803;2023;239505202,46000004;15729669,12
2200400;2023;702207679,76;20057685,84
2201309;2023;100082501,75;2887559,88
2201606;2023;191151701,82999998;8514106,01
2202075;2023;99281687,4;2529738,94
2202505;2023;189363190,27999997;8109234,32
2202653;2023;112772467,29000002;4545572,05
2203453;2023;200164788,95999998;9800811,49
2204709;2023;208443912,96;18027269,9
2205953;2023;191387091,63000003;13875057,86
2209104;2023;114415433,83000001;6505997,73
2209906;2023;104215225,19;2143699,93
5210109;2023;727512514,81;39974979,31
5211909;2023;2046878550,7199998;66290291,87
5212600;2023;95747342,38000001;0,0
5215009;2023;187744238,14;0,0
