id_municipio,ano,funcao,despesa_total,elemento_34,elemento_36,elemento_39,terceirizacao_total
3161650,2020,Outros,107039080.18402952,0,0,3107808.8565300624,3107808.8565300624
3126208,2020,Outros,194195107.18873203,0,1543807.8702381672,5239677.782465688,6783485.652703855
3169000,2020,Outros,302277133.6724129,0,1728311.9705863292,10795143.116476607,12523455.087062936
3149309,2020,Outros,1028582365.4554409,0,1154139.8746622375,35691442.369810075,36845582.24447232
3148400,2020,Outros,139615949.4382379,0,472591.4174078446,4499299.512326187,4971890.929734032
3123502,2020,Outros,118056503.01181707,0,2626114.605194532,2141361.4900405263,4767476.095235058
3152501,2020,Outros,4255555800.0078926,28990991.67313624,5115637.6073057195,254258411.84712476,288365041.1275667
3110103,2020,Outros,124483412.25701214,0,750419.5390894766,2270541.604963605,3020961.144053081
3107604,2020,Outros,139576848.55604762,0,268585.75696053833,3051107.3921056176,3319693.1490661562
3143104,2020,Outros,855359023.1870292,0,1685413.68033634,30485047.500552244,32170461.180888586
3111705,2020,Outros,115583734.07928768,1082336.8245135727,1919898.3568589413,2856832.1957659726,5859067.377138486
3149150,2020,Outros,162224527.69357693,0,284203.38698856096,3245356.3101458373,3529559.6971343984
3149507,2020,Outros,107013455.99979612,1017127.8058685747,629363.0361537584,2618522.230864035,4265013.072886368
3103207,2020,Outros,103366714.41482472,0,209075.20175733574,2836960.233088404,3046035.43484574
3131158,2020,Outros,289878410.8332452,0,3434295.9264626894,6600963.638954116,10035259.565416805
3131802,2020,Outros,208602644.9125578,0,0,6820815.785769669,6820815.785769669
3121803,2020,Outros,128631534.26040964,0,2436402.4017067757,2344718.216022827,4781120.617729602
3134400,2020,Outros,1027837765.7199053,0,1167622.3218046252,37374400.96707786,38542023.28888249
3155207,2020,Outros,110231523.65253842,0,1465732.8592477662,2696886.7165726842,4162619.5758204507
3114501,2020,Outros,387048077.029409,0,590418.040866539,10015256.611747166,10605674.652613705
3168309,2020,Outros,122623045.28161928,81402.79457413228,543481.8844895533,2886803.7331778375,3511688.4122415227
3162906,2020,Outros,387859589.53209406,0,784076.911604378,12385627.92588445,13169704.837488828
3132602,2020,Outros,115079526.0047356,0,453661.5718151697,3262156.7478773817,3715818.3196925516
3128402,2020,Outros,192268661.7240585,0,1369683.6464848346,6007396.8790220525,7377080.525506887
3119302,2020,Outros,513322044.2127311,0,365400.3219643457,19000908.393206015,19366308.715170357
3140001,2020,Outros,2628350999.6868153,0,10987867.4797256,153391103.46510586,164378970.94483143
1600402,2020,Outros,695359285.532636,0,6469672.836551357,17063179.61588934,23532852.452440698
1300607,2020,Outros,775685664.9045292,0,2479757.3581562624,24761671.597845405,27241428.95600167
1300904,2020,Outros,349509336.073719,0,480363.9802546059,3779918.8437010352,4260282.823955641
1400100,2020,Outros,8818924373.350166,0,4703929.689349653,433894158.73425174,438598088.4236014
1200138,2020,Outros,193419075.37720472,0,1881786.541281615,6343723.092046984,8225509.633328598
5007950,2020,Outros,282263712.57060593,0,1998018.5474034667,5727497.306436625,7725515.853840093
5006275,2020,Outros,346210873.1808457,0,897932.7470730548,14554268.79711467,15452201.544187726
5002308,2020,Outros,417075122.6590243,0,277909.1658174695,10284628.521372411,10562537.68718988
2800407,2020,Outros,231243581.8963107,0,3653198.9796536774,4170592.610826592,7823791.590480269
2707909,2020,Outros,238742652.7604272,3922020.853723504,324264.11184232356,12064997.18298294,16311282.148548769
2708600,2020,Outros,1574651193.230787,0,1441190.581283046,75877985.65409705,77319176.2353801
2702108,2020,Outros,529461881.45174795,0,10957684.837391116,5876984.138734398,16834668.976125516
2706406,2020,Outros,475086713.7678429,0,1549349.8783180956,8446125.646640467,9995475.524958562
1705102,2020,Outros,101419228.71422772,0,861511.6054482177,4505055.764771585,5366567.370219803
1703305,2020,Outros,100104649.13713412,0,1103668.6151976492,3184166.6827172264,4287835.297914876
1711803,2020,Outros,85155190.73628238,0,576728.9977132832,2761184.586217214,3337913.583930497
3302056,2020,Outros,472659042.8414411,0,1447255.5972869298,17521120.558379762,18968376.15566669
3304003,2020,Outros,1256629583.7268434,0,1307438.1972942208,26134110.53823643,27441548.735530652
3303500,2020,Outros,12569093036.096058,157253453.65204072,17015847.463368952,524052534.96091133,698321836.076321
3304409,2020,Outros,639132979.6079679,0,590017.8329602998,17275664.213825032,17865682.046785332
3303906,2020,Outros,7900106013.740813,7094181.247575487,6048366.763270525,593272619.730428,606415167.741274
3306008,2020,Outros,2191427593.526873,0,27619567.53503786,94581469.83340976,122201037.36844762
1100346,2020,Outros,265152424.0291015,0,1600998.5451277203,5168601.829865372,6769600.374993092
5103452,2020,Outros,171736258.78182265,0,1916520.0062821175,4881624.028084119,6798144.034366236
5106000,2020,Outros,161372821.93762338,0,1895074.45924286,2809371.8945474555,4704446.353790316
